"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2278","wishlist icon text contains Wishlist","chromium","2026-05-30","passed","2026-05-30","Wishlist Management - nopCommerce Demo Store","wishlist.spec.js","",""
"","5538","registration without last name","chromium","2026-05-30","passed","2026-05-30","Authentication Management - nopCommerce Demo Store","authent.spec.js","",""
"","5477","home page products are visible","chromium","2026-05-30","passed","2026-05-30","Product Management - nopCommerce Demo Store","product.spec.js","",""
"","5248","checking that cart message is visible","chromium","2026-05-30","passed","2026-05-30","Cart Management - nopCommerce Demo Store","cart.spec.js","",""
"","5641","opening gift cards category","chromium","2026-05-30","passed","2026-05-30","Product Management - nopCommerce Demo Store","product.spec.js","",""
"","6285","add to wishlist button visible in apparel shoes page","chromium","2026-05-30","passed","2026-05-30","Wishlist Management - nopCommerce Demo Store","wishlist.spec.js","",""
"","7740","search valid product name","chromium","2026-05-30","passed","2026-05-30","Product Management - nopCommerce Demo Store","product.spec.js","",""
"","5405","product price is visible before compare","chromium","2026-05-30","passed","2026-05-30","Compare and Order Management - nopCommerce Demo Store","compareandorder.spec.js","",""
"","7378","checking product image before adding to cart","chromium","2026-05-30","passed","2026-05-30","Cart Management - nopCommerce Demo Store","cart.spec.js","",""
"","5338","opening electronics category","chromium","2026-05-30","passed","2026-05-30","Product Management - nopCommerce Demo Store","product.spec.js","",""
"","7560","login with invalid credentials","chromium","2026-05-30","passed","2026-05-30","Authentication Management - nopCommerce Demo Store","authent.spec.js","",""
